"","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","FB_P","FB___of_Reviews","FB_Avg_Rating","FB_diff_week","FB_Page_Likes","FB_Page_Follows","IG_P","IG_Follows"
"44",FALSE,"Home Systems","Electrical and Wiring Repair",TRUE,"High","Electrician","Mid",TRUE,7,4.6,2,FALSE,NA,NA,NA,TRUE,2,4.83,413.142857142857,TRUE,NA,NA,NA,NA,TRUE,12,4.3,421.142857142857,131,132,FALSE,NA
"45",FALSE,"Home Construction","Roof Installation or Replacement",FALSE,"Mid","Roofer and Sider","Low",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,411,412,FALSE,NA
"46",FALSE,"Home Construction","Carpet Installation",TRUE,"Low","Floor, Carpet, and Tile Specialist","Mid",TRUE,10,5,12,TRUE,2,5,417.571428571429,TRUE,1,5,71.2857142857143,TRUE,2,3,83.4285714285714,6,TRUE,NA,NA,NA,683,754,TRUE,994
"47",FALSE,"Home Construction","Architectural Services",FALSE,"High","Engineer and Technical Designer","High",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"48",FALSE,"Home Maintenance","Junk Removal",TRUE,"Mid","Mover","High",TRUE,1,5,2,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"49",FALSE,"Home Construction","General Contracting",FALSE,"High","General Contractor","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,9,4.89,519.142857142857,TRUE,NA,NA,NA,NA,TRUE,1,5,441.571428571429,31,27,FALSE,NA
"50",FALSE,"Home Systems","Electrical and Wiring Repair",TRUE,"High","Electrician","High",TRUE,4,5,36,FALSE,NA,NA,NA,TRUE,91,4.8,99.7142857142857,TRUE,6,4.5,15,1,TRUE,NA,NA,NA,8,9,FALSE,NA
"51",TRUE,"Home Maintenance","Junk Removal",TRUE,"High","Mover","Low",TRUE,6,5,2,FALSE,NA,NA,NA,TRUE,1,5,71.5714285714286,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,1,2,FALSE,NA
"52",FALSE,"Home Maintenance","Mold Inspection and Removal",TRUE,"Low","Inspector and Restorer","Low",TRUE,18,4.2,4,TRUE,113,4.8,38.4285714285714,TRUE,30,4.8,38.2857142857143,TRUE,2,3.5,48.2857142857143,1,TRUE,4,5,NA,40,43,FALSE,NA
"53",TRUE,"Home Construction","General Contracting",TRUE,"Mid","General Contractor","Mid",TRUE,4,5,16,FALSE,NA,NA,NA,TRUE,3,4.83,656.857142857143,FALSE,NA,NA,NA,NA,TRUE,12,4.8,55.8571428571429,355,366,FALSE,NA
"54",FALSE,"Home Construction","Home Remodeling",TRUE,"High","General Contractor","Mid",TRUE,3,5,8,FALSE,NA,NA,NA,TRUE,5,4.8,214.571428571429,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,194,TRUE,113
"55",TRUE,"Home Maintenance","Pest Control Services",TRUE,"High","Pest Control Specialist","Mid",TRUE,107,5,2,FALSE,NA,NA,NA,TRUE,36,4.7,56.5714285714286,TRUE,2,5,0,NA,TRUE,6,5,131.285714285714,NA,148,FALSE,NA
"56",FALSE,"Home Maintenance","Outdoor Landscaping and Design",TRUE,"High","Landscaper","High",FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,8,5,0,3,FALSE,NA,NA,NA,NA,NA,TRUE,116
"57",FALSE,"Home Construction","Roof Repair or Maintenance",TRUE,"High","Roofer and Sider","High",TRUE,9,4.6,20,FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,115,4.5,0,32,TRUE,NA,NA,NA,129,131,FALSE,NA
"58",FALSE,"Home Systems","Plumbing Pipe Repair",TRUE,"Mid","Plumber","High",TRUE,3053,4.8,8,TRUE,10,4.2,205.285714285714,FALSE,NA,NA,NA,TRUE,100,4,16.4285714285714,NA,TRUE,569,4.9,2.14285714285714,4024,4228,FALSE,NA
"59",FALSE,"Home Maintenance","Artificial Turf Installation",FALSE,"High","Landscaper","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,10,5,1,1,FALSE,NA,NA,NA,NA,NA,TRUE,23
"60",FALSE,"Home Maintenance","Fireplace and Chimney Cleaning or Repair",TRUE,"High","HVAC Specialist","Mid",TRUE,334,4.7,2,FALSE,NA,NA,NA,TRUE,42,4.5,5.28571428571429,TRUE,18,3.5,1.71428571428571,22,TRUE,25,4,23.8571428571429,824,900,TRUE,800
"61",FALSE,"Home Maintenance","House Cleaning",TRUE,"Mid","Cleaner","Mid",TRUE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,7,4.6,53.5714285714286,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,32,32,FALSE,NA
"62",FALSE,"Home Systems","Electrical and Wiring Repair",FALSE,"High","Electrician","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,3,5,3.42857142857143,TRUE,8,5,7.14285714285714,7,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"63",FALSE,"Home Construction","Handyman",FALSE,"High","Handyman","High",TRUE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,0,0,NA,TRUE,18,4.5,15.2857142857143,2,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"64",FALSE,"Home Construction","Masonry Construction Services",TRUE,"High","Mason","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,1,1,FALSE,NA
"65",FALSE,"Home Construction","Bathroom Remodel",FALSE,"Mid","General Contractor","Low",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"66",FALSE,"Home Construction","Handyman",TRUE,"Mid","Handyman","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,78,4.88,30.2857142857143,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"67",FALSE,"Home Construction","Handyman",TRUE,"Mid","Handyman","Mid",TRUE,1,5,96,FALSE,NA,NA,NA,TRUE,36,4.85,49,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,NA
"68",FALSE,"Home Maintenance","Lawn Mowing and Trimming",FALSE,"Mid","Landscaper","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,9,5,39.2857142857143,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"69",FALSE,"Home Construction","Roof Repair or Maintenance",FALSE,"Mid","Roofer and Sider","High",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"70",FALSE,"Home Maintenance","Gutter Cleaning and Maintenance",FALSE,"Mid","Cleaner","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,TRUE,23
"71",FALSE,"Home Construction","Home Remodeling",FALSE,"Low","General Contractor","Mid",FALSE,NA,NA,NA,TRUE,6,5,10.8571428571429,FALSE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"72",FALSE,"Home Maintenance","House Cleaning",TRUE,"Mid","Cleaner","High",TRUE,1,5,144,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"73",FALSE,"Home Construction","Roof Installation or Replacement",FALSE,"Mid","Roofer and Sider","Low",TRUE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"74",FALSE,"Home Systems","Electrical and Wiring Repair",FALSE,"Mid","Electrician","Mid",TRUE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,3,4.7,6.14285714285714,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,49,FALSE,NA
"75",FALSE,"Home Maintenance","Outdoor Landscaping and Design",FALSE,"Mid","Landscaper","High",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,NA,NA,FALSE,NA
"76",FALSE,"Home Maintenance","Tree Trimming and Removal",TRUE,"Low","Landscaper","Mid",FALSE,NA,NA,NA,TRUE,3,5,346.285714285714,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"77",FALSE,"Home Maintenance","House Cleaning",TRUE,"Low","Cleaner","Mid",TRUE,NA,NA,NA,TRUE,13,3.9,268.428571428571,TRUE,35,4.8,1,TRUE,13,2.5,3,21,TRUE,41,4.9,2.28571428571429,83,98,TRUE,1181
"78",FALSE,"Home Systems","Wiring Installation",FALSE,"Mid","Electrician","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"79",FALSE,"Home Systems","Plumbing Pipe Repair",FALSE,"Mid","Plumber","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"80",FALSE,"Home Maintenance","Interior Painting",FALSE,"High","Painter","High",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,38,4.6,2.42857142857143,TRUE,14,5,203.571428571429,1,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"81",FALSE,"Home Construction","General Contracting",FALSE,"Mid","General Contractor","Mid",TRUE,1,5,192,FALSE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"82",FALSE,"Home Systems","Electrical and Wiring Repair",TRUE,"Low","Electrician","High",TRUE,4,4,48,TRUE,NA,NA,NA,TRUE,2,5,829.857142857143,TRUE,NA,NA,NA,NA,TRUE,NA,NA,NA,4,5,FALSE,NA
"83",FALSE,"Home Construction","General Contracting",TRUE,"Low","General Contractor","High",FALSE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,FALSE,NA,NA,NA,NA,TRUE,NA,NA,NA,72,71,TRUE,80
"84",FALSE,"Home Construction","General Contracting",FALSE,"Mid","General Contractor","Low",TRUE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,1,5,446.714285714286,FALSE,NA,NA,NA,NA,TRUE,4,5,157.142857142857,258,259,FALSE,NA
"85",FALSE,"Home Systems","Appliance Repair or Maintenance",FALSE,"High","Handyman","Mid",FALSE,NA,NA,NA,FALSE,NA,NA,NA,TRUE,9,4.35,408.428571428571,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
"86",FALSE,"Home Construction","General Carpentry",TRUE,"High","Carpenter","High",TRUE,6,5,48,FALSE,NA,NA,NA,TRUE,NA,NA,NA,TRUE,NA,NA,NA,NA,FALSE,NA,NA,NA,NA,NA,FALSE,NA
