"","Id","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","IG_P","IG_Follows","category_G","Review_sum","Avg_Rating_sum","diff_week_sum","P_num","Review_mean","Avg_Rating_mean","diff_week_mean"
"61","00Q3q00001aOlTEEA0","FALSE","Home Maintenance","House Cleaning",1,2,"Cleaner",2,TRUE,0,0,0,FALSE,0,0,0,TRUE,7,4.6,53.5714285714286,FALSE,0,0,0,0,FALSE,0,"Cleaner",7,4.6,53.5714285714286,2,3.5,2.3,26.7857142857143
"62","00Q3q00001ZxNbQEAV","FALSE","Home Systems","Electrical and Wiring Repair",0,3,"Electrician",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,3,5,3.42857142857143,TRUE,8,5,7.14285714285714,7,FALSE,0,"Handyman/Electrician",11,10,10.5714285714286,2,5.5,5,5.28571428571428
"63","00Q3q00001YOcvkEAD","FALSE","Home Construction","Handyman",0,3,"Handyman",3,TRUE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,TRUE,18,4.5,15.2857142857143,2,FALSE,0,"Handyman/Electrician",18,4.5,15.2857142857143,3,6,1.5,5.0952380952381
"64","00Q3q00001YOcoKEAT","FALSE","Home Construction","Masonry Construction Services",1,3,"Mason",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,0,0,0,FALSE,0,"Paver",0,0,0,2,0,0,0
"65","00Q3q00001YOc9FEAT","FALSE","Home Construction","Bathroom Remodel",0,2,"General Contractor",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"General Contractor",0,0,0,1,0,0,0
"66","00Q3q00001YOcvpEAD","FALSE","Home Construction","Handyman",1,2,"Handyman",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,78,4.88,30.2857142857143,FALSE,0,0,0,0,FALSE,0,"Handyman/Electrician",78,4.88,30.2857142857143,1,78,4.88,30.2857142857143
"67","00Q3q00001YOcVxEAL","FALSE","Home Construction","Handyman",1,2,"Handyman",2,TRUE,1,5,96,FALSE,0,0,0,TRUE,36,4.85,49,FALSE,0,0,0,0,FALSE,0,"Handyman/Electrician",37,9.85,145,2,18.5,4.925,72.5
"68","00Q3q00001aeQObEAM","FALSE","Home Maintenance","Lawn Mowing and Trimming",0,2,"Landscaper",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,9,5,39.2857142857143,FALSE,0,0,0,0,FALSE,0,"Landscaper",9,5,39.2857142857143,1,9,5,39.2857142857143
"69","00Q3q00001aeQeFEAU","FALSE","Home Construction","Roof Repair or Maintenance",0,2,"Roofer and Sider",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,"Roofer and Sider",0,0,0,1,0,0,0
"70","00Q3q00001aeR7AEAU","FALSE","Home Maintenance","Gutter Cleaning and Maintenance",0,2,"Cleaner",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,TRUE,23,"Cleaner",0,0,0,1,0,0,0
