"","Conversion","industry","Category","with_web","P_G","occupation","State_G","Google_P","Google___of_Reviews","Google_Avg_Rating","Google_diff_week","Angi_P","Angi_s___of_Reviews","Angi_s_Avg_Rating","Angi_diff_week","HA_P","HA___of_Reviews","HA_Avg_Rating","HA_diff_week","Yelp_P","Yelp___of_Reviews","Yelp_Avg_Rating","Yelp_diff_week","Yelp___of_Reviews__that_are_not_recommended_","FB_P","FB___of_Reviews","FB_Avg_Rating","FB_diff_week","FB_Page_Likes","FB_Page_Follows","IG_P","IG_Follows","Review_sum","Avg_Rating_sum","diff_week_sum","P_num","Review_mean","Avg_Rating_mean","diff_week_mean"
"122","FALSE","Home Construction","Handyman",0,"High","Handyman",3,FALSE,0,0,0,FALSE,0,0,0,FALSE,0,0,0,TRUE,58,5,0.428571428571429,5,FALSE,0,0,0,0,0,FALSE,0,58,5,0.428571428571429,1,58,5,0.428571428571429
"123","FALSE","Home Construction","General Contracting",0,"Mid","General Contractor",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0
"124","FALSE","Home Construction","Handyman",1,"Low","Handyman",1,FALSE,0,0,0,TRUE,1,5,120.142857142857,TRUE,7,5,55,TRUE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,8,10,175.142857142857,3,2.66666666666667,3.33333333333333,58.3809523809523
"125","FALSE","Home Construction","Architectural Services",0,"Mid","Engineer and Technical Designer",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,FALSE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,1,0,0,0
"126","FALSE","Home Construction","Bathroom Remodel",0,"High","General Contractor",1,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,TRUE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0
"127","FALSE","Home Maintenance","Lawn Mowing and Trimming",1,"Mid","Landscaper",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,6,4.2,26.5714285714286,FALSE,0,0,0,0,FALSE,0,0,0,0,0,TRUE,0,6,4.2,26.5714285714286,1,6,4.2,26.5714285714286
"128","TRUE","Home Maintenance","House Cleaning",1,"Mid","Cleaner",2,FALSE,0,0,0,FALSE,0,0,0,TRUE,1,5,14.8571428571429,FALSE,0,0,0,0,TRUE,1,5,11.1428571428571,49,49,TRUE,162,2,10,26,2,1,5,13
"129","FALSE","Home Maintenance","House Cleaning",0,"High","Cleaner",3,FALSE,0,0,0,FALSE,0,0,0,TRUE,0,0,0,TRUE,4,4,34,0,FALSE,0,0,0,0,0,FALSE,0,4,4,34,2,2,2,17
"130","FALSE","Home Maintenance","Lawn Mowing and Trimming",1,"High","Landscaper",2,TRUE,0,0,0,FALSE,0,0,0,TRUE,58,4.9,55,TRUE,0,0,0,0,FALSE,0,0,0,0,0,FALSE,0,58,4.9,55,3,19.3333333333333,1.63333333333333,18.3333333333333
"131","FALSE","Home Construction","Floor Installation or Replacement",1,"Mid","Floor, Carpet, and Tile Specialist",1,TRUE,11,5,4,FALSE,0,0,0,TRUE,13,5,1.42857142857143,FALSE,0,0,0,0,TRUE,2,5,52.1428571428571,821,828,FALSE,0,26,15,57.5714285714285,3,8.66666666666667,5,19.1904761904762
